,index,artist,id,album_id,genres,genre
1969,44674,Blur,2BSDAVUzzQP7wpvcDybmsP,0nSzBICzQHea8grwfqa5Gb,NA,"alternative rock, britpop, dance rock, electronic, garage rock, indie rock, madchester, modern rock, new wave, permanent wave, pop rock, rock"
1970,44686,Hiatus Kaiyote,3NqwLwpzbpyvXB2wJE0Oe6,3qzmmmRmVBiOuMvrerfW4z,NA,"alternative r&b, australian r&b, indie jazz, neo r&b, neo soul, shiver pop"
1971,44717,Mana,7H4mYbLFCNqn37q6Yeylly,36lGlwe75fTsr4CLVlfYQa,NA,"latin, latin arena pop, latin pop, latin rock, mexican pop, mexican rock, rock en espanol, tropical"
1972,44778,Modest Mouse,70IIrKoDLyQK7vSGqHIHRf,6iKqPv9C5oU29LR82N8lJf,NA,"alternative rock, garage rock, indie folk, indie pop, indie rock, lo-fi, modern rock, pop rock, stomp and holler, washington indie"
1973,44793,Blanca,7CfrVEX4yfeu5cqCkU3kvn,16pXhg6B9C9fLmM7HU4xfV,NA,"anthem worship, ccm, christian pop"
1974,44807,Christy Nockels,6Kga3NE8LzdzIEDPPH1QMK,5GRWNW8EwO7o65B9pKX0pq,NA,"anthem worship, ccm, christelijk, christian alternative rock, christian music, christian relaxative, world worship, worship"
1975,44836,The Weepies,5k8oDeubjblrJLNcYL8wxn,1tjlIol8VZiLJjsWl4nDeZ,NA,"acoustic pop, folk-pop, indie folk, indie pop, lilith, neo mellow, pop rock"
1976,44868,Passion Pit,0WjvB0SzNvgmuM46UjcMr8,5vHUSuZ5xizxS3zfr3SKkq,NA,"alternative dance, folk-pop, indie folk, indie pop, indie rock, indietronica, modern rock, shimmer pop, stomp and holler"
1977,44882,Frankie Valli & The 4 Seasons,0NpvdCO506uO58D4AbKzki,0NUEQILaBzavnzcMEs4buZ,NA,"adult standards, brill building pop, bubblegum pop, christmas, doo-wop, folk rock, lounge, motown, northern soul, rock-and-roll, rockabilly"
1978,44902,Two Steps From Hell,6tRXfCfNdcAMICHdQerIuu,4y7T04fej3MJ8tAe2FeKD5,NA,"epicore, scorecore, soundtrack, video game music, epicore, scorecore, soundtrack, video game music"
1979,44954,Randy Rogers & Wade Bowen,4ArUVxdlRjIZKDhYdDSZzO,0fEg7eJ2ev0c0UOztpxBra,NA,"outlaw country, red dirt, texas country, outlaw country, red dirt, texas country"
1980,44995,Tom DeLonge,36TEvN58A5fRN571FqmdI6,13hkDV4lCxWTOyWkNVGxad,NA,san diego indie
1981,45003,Alesana,1l9ajayamKnOAMu8eIgZCL,7FHbHYyQPIIzVO4IHiDP3y,NA,"metalcore, north carolina emo, screamo"
1982,45014,Built To Spill,0b4O5gvflS5zW9DEjEgNeG,6RcWVrwvFmFu2KPALVX9ZZ,NA,"alternative pop, alternative rock, anti-folk, chamber pop, dance-punk, dream pop, freak folk, garage psych, idaho indie, indie folk, indie pop, indie rock, lo-fi, modern rock, noise pop, noise rock, slow core, stomp and holler"
1983,45024,Dustin Kensrue,47UgU0rrJfeoUGvvBshbGQ,3ueOWMTVNnr0gMZK36P18U,NA,dreamo
1984,45090,Casey J,0U0FcyQVoCUxEVehfq75kz,2PN0icbfw6JsxnWrNmksuO,NA,contemporary gospel
1985,45102,William Clark Green,44DTUkjZ6nnvx4kBNpVtnh,3h5aXIK4YtJ0cRn6aWzN2V,NA,"outlaw country, red dirt, texas country"
1986,45134,Jodeci,0YSkK9rRH6tJ9NKOMfFuEP,5s1Qqmb9syps8mhP5ydAJu,NA,"dance pop, funk, hip hop, hip pop, neo soul, new jack swing, quiet storm, r&b, urban contemporary"
1987,45146,Boston,1QEEqeFIZktqIpPI4jSVSF,2QLp07RO6anZHmtcKTEvSC,NA,"album rock, art rock, classic rock, folk rock, hard rock, mellow gold, rock, soft rock, southern rock"
1988,45154,Victor Manuelle,4840hLWsWOyvtUO0Lz6xbb,3LygiJakSDkP4F5UAUFmNH,NA,"dominican pop, latin, salsa, salsa peruana, tropical"
1989,45180,Apocalyptica,1nHcQ1WF5WHQA0ikoi16qH,34RyPrb9qW7uSCLGpeLrBQ,NA,"alternative metal, bow pop, cello, gothic metal, nu metal, power metal"
