"","artist","song","WeekID","Peak.Position","Weeks.on.Chart","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","Month","Season","artist.pop","X","trap","hip.hop","indie","punk","rap","jazz","pop","metal","country","folk","bluegrass","house","rock","opera","classical","instrumental","funk","broadway","Year"
"55","A Thousand Horses","Smoke",2015-03-14,90,20,0.041,0.442,219080,0.788,8.75e-05,7,0.386,-5.508,1,0.0288,149.624,4,0.428,3,"Spring",0,1837,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,"2015"
"56","A Tribe Called Quest","We The People....",2016-12-03,77,1,0.009,0.71,172013,0.805,0,1,0.141,-5.471,1,0.0637,92.601,4,0.897,12,"Winter",0,1166,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"2016"
"57","A$AP Ferg","Plain Jane",2017-10-14,98,3,0.065,0.797,173600,0.844,0,11,0.087,-5.482,1,0.275,170.142,4,0.52,10,"Fall",0,509,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"2017"
"58","A$AP Rocky","Long Live A$AP",2013-02-02,86,1,0.587,0.726,289587,0.824,1.11e-06,0,0.113,-5.011,0,0.347,129.96,4,0.384,2,"Winter",0,143,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"2013"
"59","A$AP Rocky","L$D",2015-06-13,62,3,0.193,0.598,238307,0.252,0.138,2,0.099,-15.086,1,0.0647,120.06,4,0.035,6,"Summer",1,143,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"2015"
"60","Aaron Carter","That's How I Beat Shaq",2001-04-28,96,2,0.066,0.892,204427,0.803,0,6,0.169,-4.977,0,0.233,106.015,4,0.652,4,"Spring",1,4705,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2001"
"61","Aaron Carter","Aaron's Party (Come Get It)",2000-08-26,99,15,0.046,0.944,204733,0.886,0,1,0.043,-4.121,1,0.135,117.03,4,0.912,8,"Summer",0,4705,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2000"
"62","Aaron Lines","You Can't Hide Beautiful",2002-12-28,68,17,0.186,0.448,230800,0.572,0,5,0.151,-9.351,1,0.0292,157.979,4,0.303,12,"Winter",0,4697,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"2002"
"63","Aaron Tippin","Where The Stars And Stripes And The Eagle Fly",2001-10-20,66,20,0.036,0.586,228200,0.751,8e-05,2,0.321,-4.03,1,0.0285,100.044,4,0.385,10,"Fall",1,4296,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"2001"
"64","Aaron Tippin","Kiss This",2000-08-26,74,20,0.049,0.759,173760,0.723,5.88e-06,6,0.362,-5.38,0,0.0259,116.043,4,0.666,8,"Summer",0,4296,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"2000"
