"","song","artist","WeekID","Peak.Position","Weeks.on.Chart","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","Month","Season","artist.pop"
"65","A Woman's Love","Alan Jackson",2007-04-14,89,12,0.266,0.617,246515,0.529,0.0179116666666667,4,0.142,-9.374,1,0.0291,141.959,4,0.489,4,"Spring",3
"66","A Woman's Worth","Alicia Keys",2001-10-27,90,20,0.331,0.667,303333,0.41,0,4,0.064,-8.323,0,0.138,75.069,4,0.493,10,"Fall",1
"67","A Year Without Rain","Selena Gomez & The Scene",2010-09-25,75,8,0.01,0.629,234333,0.806,1.72e-05,2,0.112,-5.264,0,0.0442,119.966,4,0.409,9,"Fall",3
"68","A-YO","Lady Gaga",2016-11-12,66,1,0.102,0.666,207720,0.89,0,7,0.11,-5.686,1,0.15,149.935,4,0.932,11,"Fall",5
"69","A.M.","One Direction",2015-12-05,94,1,0.227,0.586,209040,0.527,0,3,0.096,-4.905,1,0.0309,141.839,4,0.506,12,"Winter",15
"70","Aaron's Party (Come Get It)","Aaron Carter",2000-08-26,99,15,0.046,0.944,204733,0.886,0,1,0.043,-4.121,1,0.135,117.03,4,0.912,8,"Summer",0
"71","About You","Trey Songz",2015-09-12,98,3,0.096,0.582,196900,0.564,0,0,0.26,-4.066,0,0.0837,204.002,4,0.718,9,"Fall",3
"72","Absolute","The Fray",2009-02-21,70,1,0.032,0.413,227080,0.836,0,3,0.293,-5.593,1,0.0371,140.515,4,0.503,2,"Winter",4
"73","Acapella","Karmin",2013-07-27,98,8,0.126,0.667,198907,0.619,0,2,0.101,-4.933,1,0.151,169.865,4,0.427,7,"Summer",2
"74","Accidentally In Love","Counting Crows",2004-06-26,61,20,0.051,0.554,188387,0.923,1.51e-05,7,0.191,-3.548,1,0.0376,137.939,4,0.808,6,"Summer",0
"75","Acquainted","The Weeknd",2015-09-19,100,18,0.484,0.372,348853,0.477,0,7,0.084,-9.838,0,0.0497,101.097,4,0.254,9,"Fall",5
"76","Addicted","Saving Abel",2008-06-28,96,34,0.001,0.512,222827,0.865,0,7,0.098,-4.146,1,0.0338,138.017,4,0.529,6,"Summer",0
"77","Addicted","Simple Plan",2003-06-28,73,19,0,0.522,232067,0.751,2.22e-06,1,0.158,-5.46,1,0.0435,139.51,3,0.605,6,"Summer",1
"78","Adore You","Miley Cyrus",2013-10-26,42,18,0.111,0.583,278747,0.655,3.57e-06,0,0.113,-5.407,1,0.0315,119.759,4,0.201,10,"Fall",2
"79","Adorn","Miguel",2012-08-18,82,33,0.054,0.625,193147,0.576,4.07e-05,11,0.187,-5.693,0,0.175,179.063,4,0.235,8,"Summer",2
"80","Aerials","System Of A Down",2002-08-17,67,20,0.001,0.364,235053,0.922,0.035,0,0.07,-4.217,0,0.0566,79.342,4,0.227,8,"Summer",1
"81","Afire Love","Ed Sheeran",2014-07-05,37,1,0.464,0.552,314280,0.637,1.63e-05,5,0.136,-6.568,1,0.0445,97.97,4,0.333,7,"Summer",3
"82","Africa","Weezer",2018-06-16,89,15,0.205,0.534,238627,0.784,0.00579,8,0.106,-3.59,1,0.0339,92.147,4,0.6,6,"Summer",0
"83","After Midnight","Blink-182",2011-10-15,88,1,0.008,0.539,206133,0.871,6.97e-06,9,0.019,-5.068,1,0.0466,167.992,4,0.894,10,"Fall",1
"84","After Party","Koffee Brown",2001-01-13,98,20,0.049,0.802,214560,0.552,1.7e-06,5,0.022,-4.796,0,0.0503,105.481,4,0.601,1,"Winter",0
"85","Again","Faith Evans",2005-03-26,90,14,0.019,0.502,198787,0.77,0,6,0.41,-6.046,0,0.265,173.787,4,0.359,3,"Spring",0
"86","Again","Fetty Wap",2015-08-29,33,26,0.006,0.748,312240,0.733,0,11,0.329,-4.421,0,0.072,93.019,4,0.291,8,"Summer",1
"87","Ain't Back Yet","Kenny Chesney",2010-03-20,73,13,0.031,0.602,239813,0.944,0.00256,10,0.436,-4.238,1,0.0427,106.958,4,0.797,3,"Spring",4
"88","Ain't It Fun","Paramore",2014-03-15,96,24,0.154,0.61,296520,0.893,4.41e-05,9,0.021,-3.681,1,0.0921,104.031,4,0.673,3,"Spring",1
"89","Ain't Leavin Without You","Jaheim",2010-02-13,98,4,0.151,0.741,200613,0.754,0,10,0.265,-5.899,0,0.247,98.929,4,0.819,2,"Winter",1
"90","Ain't My Fault","Zara Larsson",2016-10-29,85,7,0.008,0.576,224031,0.782,0,6,0.285,-4.825,0,0.0296,141.153,4,0.355,10,"Fall",1
"91","Ain't No Other Man","Christina Aguilera",2006-06-24,19,20,0.004,0.859,228767,0.732,0.00708,7,0.118,-5.154,1,0.2135,127.931,4,0.506,6,"Summer",1
"92","Ain't No Stopping Us Now","Kane Brown",2016-07-09,88,1,0,0.496,182720,0.9,0,10,0.112,-4.775,1,0.0332,75.987,4,0.477,7,"Summer",0
"93","Ain't Nothing 'Bout You","Brooks & Dunn",2001-03-10,77,20,0.139,0.342,206024,0.882,1.50666666666667e-06,6,0.352,-4.43,0,0.0493,202.024,4,0.713,3,"Spring",3
